Jam_Belajar,Nilai
2.7,50.8
6.2,92.4
4.9,82.7
4.1,68.0
1.4,45.0
1.4,40.9
0.8,34.5
5.7,89.6
4.1,74.9
4.7,81.8
0.6,33.1
6.3,99.4
5.5,87.5
1.8,47.6
1.6,42.2
1.6,43.4
2.3,50.5
3.6,64.8
3.1,58.2
2.2,51.9
4.2,77.9
1.3,44.0
2.3,47.1
2.7,60.6
3.2,60.7
5.2,86.9
1.7,41.4
3.6,66.9
4.1,73.2
0.8,29.0
4.1,74.3
1.5,47.0
0.9,34.7
6.2,100.0
6.3,96.8
5.4,90.1
2.3,43.7
1.1,46.1
4.6,83.1
3.1,59.7
1.2,31.9
3.5,66.3
0.7,28.0
6.0,95.6
2.1,50.6
4.5,73.5
2.4,56.5
3.6,69.2
3.8,72.1
1.6,43.4
6.3,92.5
5.2,88.2
6.1,94.2
5.9,88.0
4.1,76.9
6.0,100.0
1.0,36.4
1.7,52.1
0.8,34.5
2.5,52.4
2.8,55.0
2.1,54.9
5.5,85.5
2.6,57.5
2.2,48.3
3.8,67.1
1.3,43.6
5.3,84.6
0.9,33.9
6.4,100.0
5.1,89.2
1.7,46.8
0.5,28.5
5.4,85.3
4.7,79.3
4.9,82.5
5.1,80.2
0.9,37.9
2.7,56.3
1.2,32.8
5.7,87.3
4.2,71.5
2.5,53.5
0.9,42.0
2.4,53.4
2.5,50.8
4.9,82.1
4.3,73.2
5.8,92.8
3.3,65.0
1.2,43.0
4.8,80.1
5.1,89.4
3.9,73.0
5.1,81.2
3.5,73.0
3.6,67.5
3.1,57.7
0.7,38.8
1.1,44.9
0.7,32.9
4.3,72.7
2.4,52.0
3.6,68.9
5.9,97.3
2.0,50.0
3.0,59.9
5.0,87.7
1.9,45.8
1.0,40.1
2.2,49.3
1.5,43.8
6.1,94.8
5.3,85.8
4.3,73.1
5.7,95.3
5.3,83.4
1.6,40.8
5.9,100.0
3.7,71.0
5.3,77.6
5.9,90.9
2.4,46.3
1.2,35.5
1.9,35.9
3.1,60.2
5.4,83.1
5.7,90.8
0.5,25.1
3.6,66.7
3.0,58.0
1.8,51.0
1.2,43.7
2.5,56.5
6.2,95.2
2.4,59.5
3.6,61.0
4.7,74.1
2.7,55.8
6.3,100.0
6.3,96.7
2.0,47.4
3.5,60.2
2.3,54.8
2.2,53.6
0.7,35.8
4.2,71.1
3.5,62.8
0.8,29.7
2.2,50.6
5.9,89.1
1.9,42.7
1.4,39.6
3.4,62.4
6.4,96.7
2.0,49.6
4.5,77.0
5.1,82.6
1.9,47.5
4.9,77.9
2.7,56.4
4.3,75.0
4.3,69.2
3.7,71.0
1.0,33.4
5.5,88.6
2.4,56.7
1.6,46.6
0.7,33.2
4.0,69.7
4.6,81.2
0.6,34.3
3.6,64.2
1.9,44.1
4.4,68.3
1.5,42.8
4.6,77.6
2.8,61.2
6.1,96.4
1.3,44.6
2.5,51.3
1.2,42.8
6.0,92.1
5.8,94.4
2.0,42.9
4.5,77.6
5.4,80.2
3.8,67.8
3.7,69.1
2.0,46.2
1.1,34.0
5.9,95.8
5.9,92.5
4.3,72.7
2.5,53.9
2.6,64.1
4.9,85.4
5.9,96.9
5.8,93.2
5.2,85.4
4.4,67.2
1.0,34.1
1.5,40.6
5.9,86.3
4.1,68.1
0.6,25.0
1.1,37.5
4.5,79.6
0.5,34.6
1.5,43.7
3.8,65.3
4.7,72.3
4.4,69.5
1.8,41.3
4.8,77.1
1.9,46.3
2.5,50.2
5.0,83.7
4.4,74.8
5.6,89.4
4.4,79.6
3.9,65.7
1.1,39.1
2.7,56.0
2.1,48.0
2.0,51.1
6.3,100.0
2.9,55.0
5.9,92.2
4.3,75.4
5.3,85.0
3.5,67.3
4.0,72.0
3.5,71.7
1.7,39.2
4.8,79.8
2.2,47.1
0.6,34.0
4.4,69.9
1.6,44.6
6.1,92.9
6.2,93.7
6.0,88.9
2.7,54.4
0.6,35.7
6.1,95.1
3.1,62.8
6.3,100.0
6.3,98.4
5.6,87.4
2.3,53.1
2.8,55.3
5.6,87.6
2.4,47.3
1.5,45.5
3.8,67.3
6.1,95.8
4.7,75.4
3.9,71.4
1.1,35.0
4.2,72.8
6.4,100.0
1.3,42.7
3.6,66.3
5.8,85.5
4.9,91.8
4.7,85.2
4.7,81.6
2.7,53.4
2.3,51.1
5.4,85.2
5.4,91.5
5.7,91.5
6.0,91.3
3.6,64.8
3.5,69.2
5.3,91.6
4.4,80.9
4.7,81.7
5.3,85.1
5.8,80.4
2.5,54.8
2.8,57.2
1.1,38.1
4.0,71.2
0.7,28.4
3.3,64.9
3.8,70.9
2.2,52.7
4.0,74.3
0.7,35.2
0.7,31.6
5.4,86.9
2.7,56.4
1.3,40.3
3.6,69.9
5.1,85.9
1.8,53.0
4.2,81.0
1.0,36.8
0.8,20.8
3.7,71.9
3.7,65.7
4.3,71.6
4.9,80.0
6.4,97.0
3.6,68.5
2.4,47.1
5.3,82.2
2.1,50.4
3.1,62.8
1.0,38.7
0.7,30.3
6.3,94.0
5.5,86.5
4.7,79.9
3.0,64.7
1.5,35.1
1.4,40.3
2.0,43.3
3.8,62.9
4.8,83.6
4.5,78.7
2.2,51.9
6.2,99.5
4.9,79.7
3.8,67.2
4.2,81.0
3.0,58.6
2.0,50.6
2.6,54.9
5.0,76.0
0.6,24.7
1.2,36.8
0.8,37.9
0.7,35.8
5.6,92.6
4.7,75.6
3.3,68.6
1.1,34.3
3.4,64.8
3.3,62.9
1.5,41.6
3.1,65.3
2.9,55.9
4.2,68.6
4.3,74.5
0.8,32.8
2.7,67.9
4.3,76.8
3.5,63.8
5.6,85.7
4.5,70.2
1.5,38.7
0.9,35.8
4.4,80.6
0.7,37.0
4.0,71.8
6.1,94.0
4.0,71.9
2.8,55.4
4.4,81.6
3.2,61.1
3.8,68.4
6.1,87.4
2.8,56.5
6.3,100.0
5.9,89.1
1.7,41.9
0.9,38.1
1.1,32.5
0.6,35.6
1.1,35.8
4.6,76.5
0.9,31.4
2.4,53.9
5.6,98.0
0.6,34.6
5.4,84.1
2.2,54.3
1.2,37.7
4.7,83.9
4.3,77.3
5.8,81.4
4.9,77.8
5.3,89.3
2.2,50.8
1.6,39.8
5.0,80.3
5.3,79.3
6.4,98.3
3.0,67.2
2.7,58.9
5.2,92.5
2.5,56.8
6.1,98.7
5.7,97.5
3.1,62.0
5.0,81.8
5.0,86.1
1.1,42.7
5.9,91.2
